Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Avg. seconds,Avg. minutes
City and County of San Francisco : Forms - Off-Site Ceremony,2101,1683,0:01:18,91,61.54,19.66,78,1.3
San Francisco : Transportation,2100,1814,0:01:50,1014,49.8,47,110,1.83
The Great Lawn | Treasure Island Development Authority,2099,1742,0:01:27,1131,71,54.07,87,1.45
San Francisco Rent Board : Topic No. 155: Evictions Based On Breach of No Subletting Clause,2095,1889,0:01:19,200,83,18.04,79,1.32
Southeast Community Facility Commission | Southeast Community Facility Commission,2089,1355,0:00:32,90,37.78,14.94,32,0.53
About | Board of Appeals,2088,1582,0:01:18,317,47.95,29.45,78,1.3
Frequently Asked Questions (FAQs) | Office of the County Clerk,2083,1659,0:02:13,101,56.44,31.2,133,2.22
Smart Money Network,2077,1524,0:01:10,1188,51.6,42.66,70,1.17
SFERS : Benefits,2071,1565,0:00:24,450,97.78,27.91,24,0.4
Board of Supervisors : Contact Us,2070,1778,0:03:13,870,70.34,51.93,193,3.22
San Francisco Police Department : Range,2069,1839,0:00:37,609,84.73,38.42,37,0.62
Board of Supervisors : About the Clerk of The Board,2063,1650,0:00:53,233,78.11,22.01,53,0.88
Controller : San Francisco Performance Program,2063,1673,0:02:54,1196,80.77,68.06,174,2.9
San Francisco Fire Department : Meritorious Conduct Awards,2059,1456,0:00:40,470,87.05,28.41,40,0.67
Search | Fire Department,2059,1745,0:01:07,103,47.66,19.28,67,1.12
Declaration of Exemption Rev 6 26 14.pdf | Treasurer & Tax Collector,2058,1368,0:01:53,147,48.3,26.24,113,1.88
City and County of San Francisco : Go Green! Get your Voter Information Pamphlet and Sample Ballot online!,2054,1773,0:02:02,1682,77.88,73.37,122,2.03
San Francisco Rent Board : Annual Eviction Reports,2054,1541,0:02:17,644,83.07,46.49,137,2.28
City and County of San Francisco : Public Events,2053,901,0:01:34,569,84.89,32.98,94,1.57
San Francisco Ethics Commission: Contact the Commission,2051,1783,0:02:56,223,66.37,52.85,176,2.93
San Francisco Public Works : Highland Avenue Bridge,2049,906,0:00:31,812,31.4,38.9,31,0.52
"Department of Children, Youth and Their Families : Current DCYF RFPs and Grant Opportunities",2047,1660,0:01:09,518,72.64,43.09,69,1.15
City and County of San Francisco : How to Comply,2045,1606,0:02:08,208,56.73,32.37,128,2.13
Payment Information | Department of Child Support Services,2039,1480,0:01:30,179,53.07,45.66,90,1.5
Directions/Transportation | Treasure Island Development Authority,2027,1560,0:00:40,1133,41.31,35.96,40,0.67
San Francisco Department of Human Resources : DSW ID Card Information,2027,1713,0:01:48,720,78.47,47.66,108,1.8
San Francisco Fire Department : Press Room,2026,1696,0:01:35,556,80.4,49.16,95,1.58
Topic No. 154: Limits on Rent Charged By Master Tenants | Rent Board,2021,1751,0:02:20,903,72.09,48.29,140,2.33
Transportation | Welcome,2020,1547,0:01:46,393,36.18,45.3,106,1.77
San Francisco : Health Service System,2017,1698,0:03:30,892,85.54,70.25,210,3.5
San Francisco Fire Department : Wooden Ladders,2015,1752,0:02:59,1609,85.21,78.81,179,2.98
Transportation | Treasure Island Development Authority,2015,1647,0:01:37,576,57.22,38.71,97,1.62
Search | San Francisco,2004,1794,0:00:36,68,16.18,17.07,36,0.6
San Francisco Port Department : Waterfront Plan Update Public Process,2003,882,0:00:54,679,20.47,39.49,54,0.9
Secured Property Tax Bills First Installment Payment Deadline | Treasurer & Tax Collector,2003,1763,0:00:18,47,38.3,5.44,18,0.3
San Francisco Public Works : Public Works In the News 2015,2002,888,0:00:27,460,8.7,25.02,27,0.45
City and County of San Francisco : Rotunda & Grand Staircase - 1 of 15,2001,1488,0:00:08,9,44.44,2.7,8,0.13
Mayor's Office of Housing and Community Development : New BMR Units: 870 Harrison Street,1996,1725,0:01:26,427,82.44,30.56,86,1.43
Earthquake Preparedness | Department of Building Inspection,1995,1366,0:01:28,356,63.03,27.52,88,1.47
San Francisco Department of Human Resources : Employee Safety,1993,1595,0:00:59,435,67.82,28.45,59,0.98
Payment Methods for Businesses | Treasurer & Tax Collector,1992,1682,0:02:14,405,47.41,35.79,134,2.23
San Francisco Public Works : San Francisco General Hospital Rebuild Program,1991,1049,0:00:35,900,26.89,44.9,35,0.58
"San Francisco Fire Department : Property Inspection Records, Violation & Permit History",1990,1797,0:00:38,810,90.49,48.09,38,0.63
San Francisco Port Department : Foreign Trade Zone #3,1985,808,0:00:43,417,9.35,24.99,43,0.72
City and County of San Francisco : Fourth Floor - 1 of 9,1979,1385,0:00:10,25,52,3.84,10,0.17
Mayor's Office of Housing and Community Development : Limits for Affordable Rental Projects Under Contract with MOHCD,1978,1727,0:02:30,793,72.13,52.53,150,2.5
Film Commission : Insurance Requirements,1977,1723,0:03:30,887,82.98,60.45,210,3.5
Film Commission : Production Information,1971,1763,0:02:01,454,89.21,59.92,121,2.02
San Francisco Public Works : Side Sewer,1967,911,0:00:49,608,15.13,32.94,49,0.82
Emergency Alarm Information | Treasurer & Tax Collector,1964,1387,0:03:14,1035,64.15,56.77,194,3.23
San Francisco : Jury Services,1964,1712,0:02:04,1613,86.11,83.86,124,2.07
San Francisco Public Works : Community,1964,1054,0:00:23,214,27.57,15.78,23,0.38
San Francisco Public Works : News Rack Program,1964,929,0:00:46,707,18.67,37.42,46,0.77
Use of debt collection firms | Treasurer & Tax Collector,1961,1580,0:02:01,549,61.2,36.72,121,2.02
City and County of San Francisco : About OCEIA,1959,1399,0:01:11,730,64.75,37.67,71,1.18
San Francisco Rent Board : Monthly Statistics,1956,1575,0:01:21,263,75.29,36.15,81,1.35
San Francisco Department of Human Resources : PSCs Archives - Calendar Year 2015,1955,1825,0:02:41,1659,88.97,81.48,161,2.68
Office of the Mayor : Get Connected,1952,1557,0:01:01,167,87.5,38.68,61,1.02
City and County of San Francisco : Poll Worker Resources,1950,1465,0:02:22,714,73.81,58.36,142,2.37
SFGov : About DT,1946,1440,0:00:51,453,82.34,32.37,51,0.85
San Francisco 311 : Homeless - Resources - Addiction / Detox Treatment,1945,1452,0:02:50,1384,80.56,71.36,170,2.83
City and County of San Francisco : Services Provided By Other Agencies,1939,1490,0:00:53,136,77.21,26.41,53,0.88
San Francisco Port Department : Recreation,1939,1051,0:00:28,91,21.98,15.11,28,0.47
San Francisco Public Works : Public Works Week 2015,1938,985,0:00:15,980,9.9,49.59,15,0.25
Treasure Island Development Authority Staff | Treasure Island Development Authority,1937,1604,0:01:39,486,69.55,46.62,99,1.65
San Francisco : Environmental Health,1935,1492,0:01:52,1118,74.06,63.05,112,1.87
San Francisco 311 : Damaged Property,1934,1555,0:02:34,523,72.08,58.38,154,2.57
San Francisco Rent Board : Section 37.9B Tenant Rights In Evictions Under Section 37.9(a)(8),1932,1651,0:01:57,322,64.6,28.36,117,1.95
Visit web page,1931,1764,0:17:32,1764,98.02,91.35,1052,17.53
City and County of San Francisco : Rotunda & Grand Staircase - 5 of 15,1929,1615,0:00:06,7,42.86,2.33,6,0.1
City and County of San Francisco : Newsroom,1926,1300,0:00:38,206,69.42,18.64,38,0.63
"Department of Children, Youth and Their Families : 2015 Community Input Sessions",1926,1640,0:03:45,1484,87.28,80.48,225,3.75
San Francisco Department of Human Resources : Claims Adjusters and General Contact Information,1926,1495,0:02:10,378,73.54,46.94,130,2.17
San Francisco Public Works : Night Noise Permit,1926,970,0:01:12,742,22.91,40.03,72,1.2
San Francisco Department of Emergency Management : Announcements & Updates,1924,1404,0:01:14,445,88.54,39.6,74,1.23
San Francisco Public Works : Additional Street Space,1924,871,0:01:15,414,11.11,26.25,75,1.25
Mayor's Office of Housing,1923,1360,0:00:46,864,65.97,37.44,46,0.77
Mayor's Office of Housing and Community Development : BMR Resale: 501 Crescent Way #5205,1922,1592,0:02:57,1411,75.34,66.29,177,2.95
Public Graffiti Lookup,1921,1337,0:00:31,1287,43.98,35.19,31,0.52
San Francisco Port Department : Port News,1921,795,0:00:18,154,14.29,14.47,18,0.3
San Francisco Port Department : Port Jurisdiction,1918,859,0:00:40,388,5.67,28,40,0.67
San Francisco Fire Department : Division of Support Services,1917,1348,0:00:35,370,80.81,24.41,35,0.58
San Francisco Rent Board : Annual Statistical Report,1912,1221,0:01:51,184,60.33,28.35,111,1.85
San Francisco : Volunteer Opportunities,1911,1159,0:01:38,1149,72.67,60.18,98,1.63
San Francisco Fire Department : H-3 Level I: Emergency Medical Technician,1911,1583,0:02:03,1203,57.77,53.64,123,2.05
San Francisco Public Works : Taraval Streetscape Improvements Project,1909,796,0:00:45,621,17.39,32.16,45,0.75
"City and County of San Francisco : Public Notices, Announcements, & Reports",1907,1544,0:01:31,102,67.65,24.7,91,1.52
"Mayor's Office of Housing and Community Development : 2015-2016 RFP Information (CDBG, ESG, HOPWA, General Fund/Housing Trust Fund)",1907,1660,0:01:31,960,78.75,52.33,91,1.52
Board of Supervisors : Board 1,1905,841,0:01:34,482,91.08,28.5,94,1.57
Fire Commission | Fire Department,1905,861,0:00:24,49,26,5.77,24,0.4
Mayor's Office of Housing : How Income is Reviewed for Inclusionary Housing Program Units,1904,1700,0:02:55,889,65.47,51.63,175,2.92
"Mayor's Office of Housing and Community Development : BMR Unit: 901 Bayshore Boulevard, Unit 305",1904,1663,0:03:18,1343,77.14,68.49,198,3.3
SEARCH OUR ONLINE DIRECTORY FOR CERTIFIED FIRMS | Human Rights Commission,1903,1434,0:02:38,1283,63.27,66.05,158,2.63
City and County of San Francisco : Closing a Business,1900,1118,0:02:50,1036,61.68,54.16,170,2.83
San Francisco Public Works : Street Space,1897,928,0:01:00,472,17.16,23.67,60,1
Reports & Statistics | Office of Citizen Complaints,1895,920,0:02:24,137,51.8,28.39,144,2.4
Paid Sick Leave Ordinance (PSLO) | Office of Labor Standards Enforcement,1894,1589,0:04:16,1326,74.04,71.54,256,4.27
San Francisco 311 : Customer Satisfaction Survey,1892,1633,0:01:01,342,85.09,40.38,61,1.02
Search | Department of Child Support Services,1891,1616,0:00:29,46,58.7,15.6,29,0.48
San Francisco Port Department : Northeast Waterfront Advisory Group,1886,587,0:00:28,207,7.25,11.88,28,0.47
Controller : Budget and Analysis,1883,1586,0:00:43,1053,75.97,48.91,43,0.72
Office of Economic and Workforce Development : Jobseeker Services,1882,1538,0:02:50,513,73.68,60.2,170,2.83
Asthma Task Force,1878,1417,0:00:51,810,34.44,25.72,51,0.85
San Francisco Port Department : Pier 70 Master Planning,1878,848,0:00:33,350,13.71,25.29,33,0.55
"San Francisco Public Works : Recreation Centers, Clubhouses, Parks & Playgrounds",1876,1573,0:01:08,653,78.25,41.84,68,1.13
San Francisco's Newest Neighborhood | Treasure Island Development Authority,1876,1539,0:02:21,1139,49.08,64.07,141,2.35
San Francisco Ethics Commission: Statements of Economic Interests - Filings,1875,1358,0:02:40,108,67.59,46.08,160,2.67
San Francisco 311 : 311 Executive Management Team,1874,1526,0:01:13,418,83.49,35.33,73,1.22
San Francisco Public Works : 2011 Mechanical Street Sweeping Calendar,1874,1153,0:00:22,171,30.99,17.93,22,0.37
Advisory Committee of Street Artists and Crafts Examiners | San Francisco Arts Commission,1873,1201,0:00:23,293,32.08,14.31,23,0.38
San Francisco Fire Department : Deputy Chief of Operations - Mark A. Gonzales,1871,1840,0:02:03,1761,96.93,93.53,123,2.05
General Information | Department of Child Support Services,1867,1444,0:01:07,235,45.96,31.12,67,1.12
San Francisco GovTV : SFGovTV LIVE Events,1862,1492,0:03:42,1141,78.35,70.62,222,3.7
Meetings | Rent Board,1861,913,0:00:38,66,16.42,5.8,38,0.63
San Francisco Port Department : Cargo Carriers,1858,676,0:00:27,135,17.04,15.77,27,0.45
Mayor's Office of Housing and Community Development : Downpayment Assistance for BMR Units,1856,1517,0:01:34,463,77.75,34.97,94,1.57
"San Francisco Rent Board : Rule 6.14 Adopted By the Commission, April 26, 2000 - 4/26/00",1856,1612,0:04:32,1092,65.02,57.6,272,4.53
Discrimination Complaints Investigation & Mediation Division Overview | Human Rights Commission,1855,1401,0:01:14,378,54.76,32.67,74,1.23
Film Commission : Film Commission,1854,1281,0:00:47,422,82.23,34.2,47,0.78
Search | Board of Appeals,1853,1528,0:00:26,27,48.15,10.74,26,0.43
Board of Supervisors : Former Supervisor David Chiu,1851,1683,0:02:10,1357,70.74,63.97,130,2.17
Mayor's Office of Housing and Community Development : New BMR Units: 8 Octavia Blvd.,1851,1650,0:01:34,366,86.34,30.96,94,1.57
San Francisco Port Department : 2762 Pier 31 Building & Roof Repair Project,1844,804,0:00:26,733,1.64,37.53,26,0.43
San Francisco Public Works : Masonic Avenue Streetscape Improvement Project,1843,893,0:00:40,779,16.94,41.94,40,0.67
Request Street Space Site Meeting,1842,588,0:01:16,550,66.55,30.84,76,1.27
San Francisco Police Department : UCR,1842,1568,0:01:13,683,72.04,44.63,73,1.22
San Francisco Public Works : Temporary Occupancy Permit Requirements,1842,911,0:00:51,805,13.42,38.49,51,0.85
City and County of San Francisco : HCSO Notification on True Up and Reporting,1840,1347,0:01:25,168,54.17,19.4,85,1.42
San Francisco Port Department : Bayview Rise,1839,922,0:00:54,870,26.21,46.17,54,0.9
City & County of San Francisco,1835,1301,0:00:47,687,75.4,53.24,47,0.78
San Francisco Public Works : Public Safety,1834,1600,0:01:07,632,85.28,44.33,67,1.12
"Department of Children, Youth and Their Families : Jobs and Internships for Youth Ages 14-24",1831,1324,0:02:24,1088,78.26,64.23,144,2.4
San Francisco : Environment,1831,1555,0:01:31,890,39.21,35.5,91,1.52
San Francisco : Office of Economic and Workforce Development,1831,1612,0:02:58,1442,83.84,81.05,178,2.97
San Francisco : Introducing SFGov Mobile,1828,1620,0:02:04,1249,76.54,66.03,124,2.07
Permits | Fire Department,1825,1477,0:02:18,840,67.5,50.79,138,2.3
Community Corrections Partnership | Adult Probation Department,1822,1224,0:00:54,177,57.63,21.9,54,0.9
San Francisco Public Works : Graffiti Advisory Board,1820,637,0:00:33,424,31.13,26.81,33,0.55
Transient Occupancy Tax (TOT) Filing Instructions for Short-Term Residential Rental Hosts | Treasurer & Tax Collector,1820,1208,0:02:00,375,47.47,29.51,120,2
Office of the Mayor : Addresses & Speeches,1817,1307,0:00:44,439,56.49,25.1,44,0.73
San Francisco Port Department : Cargo Statistics,1817,705,0:00:40,150,8.67,17.89,40,0.67
City and County of San Francisco : Thank You! (Redirect back to Contact Page),1816,1186,0:00:38,741,4.45,6.28,38,0.63
Board of Supervisors : Neighborhood Services & Safety Committee,1815,1263,0:00:54,360,38.33,21.65,54,0.9
City and County of San Francisco : Rotunda & Grand Staircase - 3 of 15,1814,1492,0:00:08,9,88.89,2.87,8,0.13
San Francisco 311 : Open311 Applications,1813,1562,0:01:06,500,70.6,37.62,66,1.1
City and County of San Francisco : Prizes,1812,1635,0:01:00,1144,93.62,68.43,60,1
Meetings | Civil Service Commission,1810,1335,0:00:25,79,34.18,14.86,25,0.42
Monthly Permit Activity Reports | Department of Building Inspection,1807,1276,0:00:42,484,29.75,15.99,42,0.7
San Francisco Port Department : Port of San Francisco’s Pier 80 Welcomes Freighter Carrying America’s Cup team Artemis Racing’s AC72,1806,1025,0:00:16,1020,30.49,53.49,16,0.27
San Francisco Public Works : Engineering,1804,828,0:00:20,607,10.87,24.45,20,0.33
San Francisco Fire Department : Media Advisories & PSAs,1803,1635,0:01:18,875,89.83,58.79,78,1.3
City and County of San Francisco : The Rotunda,1802,1476,0:00:55,152,61.18,20.53,55,0.92
San Francisco : San Francisco Sheriff's Department,1802,1534,0:02:35,1296,85.57,78.41,155,2.58
Mayor's Office of Housing : Multifamily Units: 2175 Market Street,1801,1516,0:01:26,493,81.95,33.48,86,1.43
San Francisco : Hotspot 2.0,1800,1557,0:02:29,810,80.99,68.44,149,2.48
Board of Supervisors : San Francisco Skateboarding Laws,1799,1656,0:06:09,1649,93.03,91.33,369,6.15
San Francisco Law Library : Search,1798,1627,0:00:53,137,84.67,35.04,53,0.88
San Francisco Department of Emergency Management : EMS System Providers,1797,1599,0:01:29,758,82.45,53.09,89,1.48
Board of Supervisors : LAFCo Meeting Information,1796,970,0:00:53,192,47.4,21.49,53,0.88
City and County of San Francisco : Rotunda & Grand Staircase - 8 of 15,1794,1517,0:00:11,31,61.29,5.02,11,0.18
San Francisco Fire Department : Water Supply Systems,1792,1534,0:03:03,1404,81.41,75.5,183,3.05
San Francisco Police Department : 2014,1789,1388,0:00:47,716,89.53,43.43,47,0.78
San Francisco Port Department : Parking - Street Parking,1789,651,0:00:33,438,7.53,28.9,33,0.55
San Francisco Port Department : Cargo Facilities,1788,677,0:00:32,130,4.62,14.77,32,0.53
San Francisco Public Works : Sidewalk Surface Permit,1787,868,0:00:54,641,14.51,38.33,54,0.9
San Francisco Police Department : Crime Statistics by District,1784,1459,0:01:02,1234,53.32,47.87,62,1.03
Board of Supervisors : Section 1.5 Penal Code Section 849(b),1782,1699,0:05:25,1698,95.47,94.95,325,5.42
Mayor's Office of Housing and Community Development : Process for Reselling a BMR Unit,1782,1557,0:03:13,829,69.36,53.48,193,3.22
San Francisco Rent Board : Topic No. 401: The Hearing Process,1778,1489,0:01:22,315,52.38,23.57,82,1.37
Office of Economic and Workforce Development : Tax Credits & Incentives,1776,1386,0:01:27,613,76.84,43.81,87,1.45
City and County of San Francisco : Fourth Floor - 2 of 9,1772,1318,0:00:08,7,85.71,2.37,8,0.13
San Francisco Police Department : Vicious and Dangerous Dog Unit,1772,1597,0:03:00,1433,88.7,79.8,180,3
Veterans Affairs Commission,1772,1237,0:01:11,924,26.84,25.4,71,1.18
San Francisco : Emergency and Safety,1771,1454,0:01:50,883,44.62,40.88,110,1.83
San Francisco 311 : Public Construction Tow-Away Zone FAQ,1771,1527,0:02:48,1192,81.8,68.44,168,2.8
San Francisco Police Department : Minutes,1771,1456,0:00:18,340,90.88,21.74,18,0.3
City and County of San Francisco : Rotunda & Grand Staircase - 6 of 15,1770,1499,0:00:08,13,76.92,3.16,8,0.13
San Francisco Police Department : Captain's Message,1768,1590,0:00:31,382,92.93,31.33,31,0.52
"Community Arts, Education and Grants Committee | San Francisco Arts Commission",1764,970,0:00:11,44,36.36,4.93,11,0.18
San Francisco Department of Human Resources : Workshops for Supervisors and Managers,1763,1361,0:00:43,160,33.12,11.57,43,0.72
Health Care Security Ordinance (HCSO) | Office of Labor Standards Enforcement,1760,1262,0:02:35,1044,48.18,42.44,155,2.58
Office of Economic and Workforce Development : Neighborhoods,1760,1422,0:01:43,363,84.02,44.66,103,1.72
Office of Community Investment and Infrastructure : Home,1758,1436,0:01:21,1260,54.37,50.85,81,1.35
San Francisco Department of Emergency Management : EMS Agency Protocol Manual Individual Files,1758,1421,0:05:49,916,81.22,70.65,349,5.82
Monthly Filing in Effect for Hotel Operators | Treasurer & Tax Collector,1755,1326,0:03:21,649,64.87,47.41,201,3.35
Board of Supervisors : Frequently Asked Questions?,1754,1600,0:01:31,571,67.25,40.36,91,1.52
City and County of San Francisco : Rotunda & Grand Staircase - 7 of 15,1753,1482,0:00:09,8,37.5,3.02,9,0.15
San Francisco Rent Board : Topic No. 011: Rent Board Contact Information and Hours,1752,1580,0:01:35,321,87.54,39.9,95,1.58
Alarm Company Self Service Portal | Treasurer & Tax Collector,1751,975,0:03:57,879,16.36,47.86,237,3.95
San Francisco Rent Board : Agendas,1751,1302,0:00:11,434,24.65,8.68,11,0.18
Controller : Budget Ordinances,1749,1624,0:05:15,1158,90.93,80.27,315,5.25
SFGov : Services,1748,1410,0:00:34,407,94.84,35.64,34,0.57
San Francisco Police Department : Megan's Law / Sex Offender Info,1745,1619,0:03:12,1201,87.84,75.76,192,3.2
City and County of San Francisco : Fourth Floor - 4 of 9,1743,1352,0:00:06,12,91.67,3.1,6,0.1
San Francisco Port Department : Blue Greenway Project,1742,704,0:00:36,432,6.48,26.06,36,0.6
City and County of San Francisco : Pit Bull Highlights,1739,1501,0:02:29,1376,76.38,71.71,149,2.48
Fine Arts Museums of San Francisco | Fine Arts Museums of San Francisco,1737,1098,0:00:15,35,62.86,16.35,15,0.25
Topic No. 201: Overview of Just Cause Evictions | Rent Board,1735,1484,0:01:55,310,60.26,27.72,115,1.92
San Francisco Department of Emergency Management : Emergency Services,1733,1541,0:00:40,316,95.25,26.49,40,0.67
San Francisco Public Works : Mid-Market -- SoMa Alleyways Phase 2,1731,808,0:00:36,662,18.58,38.53,36,0.6
City and County of San Francisco : Fourth Floor - 7 of 9,1727,1361,0:00:10,11,63.64,4.34,10,0.17
San Francisco Police Department : SFPD Report System: Spanish,1727,1524,0:00:48,292,85.96,28.89,48,0.8
San Francisco Department of Human Resources : DHR Reports,1726,1561,0:00:55,137,83.94,17.73,55,0.92
City and County of San Francisco : N. Penalties,1721,1423,0:01:50,166,45.78,27.25,110,1.83
San Francisco : Legal Information,1716,1487,0:01:30,907,41.23,37.06,90,1.5
United States Navy Information | Treasure Island Development Authority,1716,1320,0:01:32,724,67.03,47.96,92,1.53
City and County of San Francisco : Rotunda & Grand Staircase - 2 of 15,1712,1362,0:00:05,2,100,1.64,5,0.08
San Francisco Public Works : Surface Mounted Facility,1712,788,0:00:29,679,12.22,39.49,29,0.48
San Francisco Police Department : Compstat Reports 2014,1709,1573,0:01:18,423,90.78,47.92,78,1.3
San Francisco Public Works : Approved Street Tree List,1709,872,0:00:57,650,21.08,40.14,57,0.95
San Francisco Department of Human Resources : Personal Services Contracts (PSCs),1705,1471,0:00:44,385,83.64,31.73,44,0.73
San Francisco Port Department : Downtown Ferry Terminal Expansion,1705,732,0:00:38,588,13.61,33.96,38,0.63
City and County of San Francisco : WebProcure,1700,1292,0:00:34,105,22.86,11.06,34,0.57
"Department of Children, Youth and Their Families : Data, Evaluations & Reports",1700,1211,0:02:03,391,64.19,37.82,123,2.05
Board of Supervisors : Legislative Research Center - Search Help,1696,1380,0:01:24,196,80.1,39.03,84,1.4
San Francisco Rent Board : Fact Sheet 6 - Tenant Petitions,1694,1539,0:03:28,457,64.11,42.98,208,3.47
Mission Bay | Office of Community Investment and Infrastructure,1691,1267,0:02:12,924,54.62,48.85,132,2.2
San Francisco Administrative Code | Civil Service Commission,1691,1340,0:02:22,902,72.62,56.59,142,2.37
Frequently Asked Questions | Office of Citizen Complaints,1690,1294,0:01:19,84,73.81,27.69,79,1.32
Brown Bag Series: Accessibility from A to Z | Department of Building Inspection,1685,1268,0:03:50,508,66.54,36.85,230,3.83
City and County of San Francisco : Ranked-Choice Voting,1684,1391,0:03:56,1028,79.18,64.79,236,3.93
San Francisco Public Works : High Precision Network (HPN) Survey,1683,852,0:00:41,608,13.32,41.18,41,0.68
Building Permits Filed and Issued | Department of Building Inspection,1680,1331,0:03:31,802,62.79,57.02,211,3.52
City and County of San Francisco : Abandonment of Fictitious Business Name (FBN),1679,1272,0:01:30,581,66.61,36.63,90,1.5
Film Commission : Frequently Requested Locations,1679,1074,0:00:51,204,88.24,26.21,51,0.85
San Francisco Port Department : Port Events : Grand Princess (cruise ship),1677,863,0:00:39,98,21.43,20.51,39,0.65
SFERS : Retirement Appointment Scheduler,1675,1267,0:02:58,514,85.6,58.33,178,2.97
San Francisco 311 : Temporary Sign Request Process,1673,1297,0:02:10,1223,82.99,72.27,130,2.17
San Francisco Public Works : Deputy Director for Infrastructure Design and Construction & City Engineer,1665,849,0:00:33,631,27.58,35.5,33,0.55
San Francisco Rent Board : Minutes,1665,1165,0:00:10,174,33.33,5.95,10,0.17
Office of the Mayor : Teacher Winners,1661,1397,0:03:05,1034,84.33,74.53,185,3.08
Controller : Public Forms & Notice,1659,1405,0:01:19,915,82.73,61.54,79,1.32
San Francisco Police Department : SFPD Report System: Chinese,1658,1357,0:01:25,256,82.42,32.63,85,1.42
Mayor's Office of Housing and Community Development : Asset Management - Multifamily Rental Housing,1655,1382,0:02:56,1106,78.03,67.55,176,2.93
San Francisco : Public Utilities Commission,1654,1364,0:02:30,977,81.78,73.4,150,2.5
Parking & Hotel Tax Schedule | Treasurer & Tax Collector,1651,1387,0:00:59,487,52.36,23.2,59,0.98
San Francisco Rent Board : Uniform Hotel Visitor Policy,1649,1184,0:01:37,382,70.42,33.9,97,1.62
San Francisco Public Works : Public Hearings and Meetings,1648,712,0:00:51,607,14.5,30.76,51,0.85
SFERS : Contributions,1647,1349,0:01:18,476,94.75,36.73,78,1.3
San Francisco Rent Board : Fact Sheet 10 - Water Revenue Bond Passthroughs,1646,1470,0:04:03,940,70.53,59.05,243,4.05
San Francisco Police Department : Physical Training and Defensive Tactics Unit,1645,1473,0:00:36,407,93.86,32.16,36,0.6
San Francisco Port Department : The Exploratorium,1645,665,0:00:26,402,12.19,24.01,26,0.43
San Francisco Rent Board : Topic No. 359: Section 6.15c(3) Petitions Based on Proportional Rent,1642,1427,0:03:11,959,67.88,53.17,191,3.18
San Francisco Fire Department : Medical & Billing Records,1640,1414,0:00:17,419,70.17,25.79,17,0.28
San Francisco Public Works : Property Owner Info about Illegal Sidewalk Dumping,1637,870,0:00:52,519,30.25,36.41,52,0.87
City and County of San Francisco : Fourth Floor - 3 of 9,1636,1261,0:00:04,8,62.5,1.83,4,0.07
San Francisco Police Department : 2015,1634,1082,0:00:28,212,97.17,26.44,28,0.47
San Francisco Public Works : Bureau of Building Repair,1634,813,0:00:33,679,17.08,42.41,33,0.55
San Francisco Department of Human Resources : City College of San Francisco Online Non-Credit Courses,1632,1384,0:03:18,373,72.92,48.96,198,3.3
San Francisco Police Department : Department News and Updates : SFPD Officer Involved Shooting on Treasure Island,1632,1323,0:01:57,1252,77.72,75.18,117,1.95
San Francisco Department of Emergency Management,1631,1065,0:00:28,781,66.71,37.95,28,0.47
Board of Supervisors : Newsletter Archive,1629,675,0:01:49,109,55.05,24.31,109,1.82
Fact Sheet 4 - Eviction Issues | Rent Board,1626,1455,0:04:29,843,72.87,60.15,269,4.48
San Francisco Public Works : DPW Orders,1626,768,0:00:42,655,10.69,38.62,42,0.7
Board of Supervisors : 2015 Communications,1625,800,0:01:11,190,41.05,18.83,71,1.18
"Mayor's Office of Housing and Community Development : BMR Resale Unit: 101 Crescent Way, Unit 2102",1625,1407,0:01:03,259,85.33,23.57,63,1.05
San Francisco Department of Human Resources : City College of San Francisco Credit Courses,1624,1359,0:03:01,212,57.08,38.55,181,3.02
San Francisco Port Department : Pier 96,1624,837,0:00:32,813,21.89,43.72,32,0.53
Contact Us | Office of the County Clerk,1621,1298,0:02:50,82,52.94,52.19,170,2.83
City and County of San Francisco : Dog Walker Legislation,1616,1044,0:01:04,583,52.83,31.5,64,1.07
San Francisco 311 : 311 Organizational Chart,1616,1335,0:01:11,204,87.75,31.25,71,1.18
Office of the Mayor : Priorities,1615,1193,0:00:26,182,75.27,21.49,26,0.43
Mayor's Office of Housing and Community Development : Multifamily Units - 129 Golden Gate Avenue (Vera Haile Senior Housing),1614,1435,0:01:05,343,82.22,27.45,65,1.08
Board of Supervisors : Sunset District Blueprint,1613,1150,0:02:36,814,71.87,57.28,156,2.6
Controller : Contract Opportunities,1613,1424,0:00:46,456,85.09,38.87,46,0.77
"Department of Children, Youth and Their Families",1613,574,0:01:03,138,52.17,12.52,63,1.05
City and County of San Francisco : Get Involved & Contact Us,1611,1248,0:02:11,655,74.35,49.97,131,2.18
Notice to hotels regarding Tourism Improvement District | Treasurer & Tax Collector,1611,1340,0:03:28,1064,74.72,65.36,208,3.47
Office of the City Attorney : Redirect,1611,1527,0:01:15,1527,94.04,92.92,75,1.25
City and County of San Francisco : Citizen's Advisory Committee for the Central Market & Tenderloin Area,1607,1090,0:01:19,792,43.69,32.17,79,1.32
City and County of San Francisco : Fourth Floor - 5 of 9,1607,1277,0:00:06,7,71.43,1.8,6,0.1
San Francisco Port Department : Inactive RFPs/RFQs,1607,554,0:00:14,67,0,6.22,14,0.23
